Player, Object, Duration, Time
Player 1, Player, 1:59, 09.08.2022 15:27:02
Player 1, Player, 1:845, 09.08.2022 15:27:04
Player 1, plantFarn, 0:50, 09.08.2022 15:27:06
Player 1, plantFarn, 1:122, 09.08.2022 15:27:07
Player 1, Player, 0:442, 09.08.2022 15:27:08
Player 1, Player, 0:398, 09.08.2022 15:27:11
Player 1, Picture, 0:7, 09.08.2022 15:27:19
Player 1, Player, 0:837, 09.08.2022 15:27:20
Player 1, Player, 4:334, 09.08.2022 15:27:25
Player 1, Player, 0:284, 09.08.2022 15:27:25
Player 1, Player, 1:419, 09.08.2022 15:27:27
Player 1, Player, 0:930, 09.08.2022 15:27:28
Player 1, Window, 0:140, 09.08.2022 15:27:29
Player 1, Player, 0:138, 09.08.2022 15:27:30
Player 1, Player, 0:726, 09.08.2022 15:27:35
Player 1, Player, 0:802, 09.08.2022 15:27:36
Player 1, Picture, 0:41, 09.08.2022 15:27:38
Player 1, Player, 0:415, 09.08.2022 15:27:39
Player 1, Player, 0:228, 09.08.2022 15:27:40
Player 1, Player, 0:79, 09.08.2022 15:27:40
Player 1, Player, 1:463, 09.08.2022 15:27:41
Player 1, Player, 0:16, 09.08.2022 15:27:42
Player 1, Player, 2:12, 09.08.2022 15:27:45
Player 1, Player, 1:9, 09.08.2022 15:27:47
Player 1, Player, 0:441, 09.08.2022 15:27:48
Player 1, Player, 0:840, 09.08.2022 15:27:52
Player 1, Player, 0:209, 09.08.2022 15:28:00
Player 1, Window, 2:62, 09.08.2022 15:28:03
Player 1, Player, 1:270, 09.08.2022 15:28:06
Player 2, Player, 0:514, 09.08.2022 15:28:07
Player 1, Player, 1:564, 09.08.2022 15:28:11
Player 1, Player, 0:218, 09.08.2022 15:28:11
Player 1, Player, 2:66, 09.08.2022 15:28:14
Player 2, Player, 7:418, 09.08.2022 15:28:15
Player 2, Player, 0:222, 09.08.2022 15:28:15
Player 2, Player, 0:28, 09.08.2022 15:28:15
Player 2, Player, 0:859, 09.08.2022 15:28:17
Player 2, Player, 0:498, 09.08.2022 15:28:17
Player 1, Player, 3:871, 09.08.2022 15:28:18
Player 2, Window, 0:702, 09.08.2022 15:28:18
Player 2, Window, 1:60, 09.08.2022 15:28:20
Player 2, Player, 0:99, 09.08.2022 15:28:20
Player 2, Player, 0:662, 09.08.2022 15:28:21
Player 1, Player, 5:262, 09.08.2022 15:28:24
Player 1, Player, 0:181, 09.08.2022 15:28:25
Player 1, Player, 0:211, 09.08.2022 15:28:25
Player 1, Player, 0:508, 09.08.2022 15:28:26
Player 1, Player, 1:870, 09.08.2022 15:28:28
Player 2, Player, 6:250, 09.08.2022 15:28:28
Player 1, Player, 0:451, 09.08.2022 15:28:29
Player 1, Player, 0:969, 09.08.2022 15:28:31
Player 1, Player, 1:822, 09.08.2022 15:28:33
Player 1, Player, 0:831, 09.08.2022 15:28:34
Player 1, Player, 0:542, 09.08.2022 15:28:35
Player 1, Player, 0:82, 09.08.2022 15:28:35
Player 1, Player, 0:900, 09.08.2022 15:28:36
Player 2, Player, 10:992, 09.08.2022 15:28:40
Player 2, Player, 0:7, 09.08.2022 15:28:40
Player 1, Player, 0:234, 09.08.2022 15:28:41
Player 2, Player, 1:61, 09.08.2022 15:28:41
Player 1, plantAloe, 0:295, 09.08.2022 15:28:42
Player 2, Player, 0:779, 09.08.2022 15:28:42
Player 2, Player, 0:820, 09.08.2022 15:28:43
Player 1, Player, 0:374, 09.08.2022 15:28:43
Player 1, Player, 0:247, 09.08.2022 15:28:44
Player 2, Player, 1:64, 09.08.2022 15:28:44
Player 1, Player, 0:213, 09.08.2022 15:28:45
Player 1, Player, 0:608, 09.08.2022 15:28:47
Player 1, Player, 2:338, 09.08.2022 15:28:52
Player 1, Player, 0:395, 09.08.2022 15:28:55
Player 1, Player, 0:353, 09.08.2022 15:28:57
Player 1, Player, 0:267, 09.08.2022 15:28:58
Player 1, Player, 1:787, 09.08.2022 15:28:59
Player 1, Player, 0:301, 09.08.2022 15:29:09
Player 1, Player, 1:125, 09.08.2022 15:29:15
Player 2, Player, 0:137, 09.08.2022 15:29:15
Player 1, Player, 0:117, 09.08.2022 15:29:17
Player 1, Player, 0:117, 09.08.2022 15:29:17
Player 1, Player, 0:263, 09.08.2022 15:29:18
Player 2, Window, 2:958, 09.08.2022 15:29:21
Player 1, Player, 0:569, 09.08.2022 15:29:21
Player 2, Player, 0:187, 09.08.2022 15:29:22
Player 1, Window, 2:277, 09.08.2022 15:29:23
Player 1, Player, 0:573, 09.08.2022 15:29:24
Player 2, Window, 0:793, 09.08.2022 15:29:24
Player 1, Player, 0:49, 09.08.2022 15:29:26
Player 1, Window, 1:346, 09.08.2022 15:29:27
Player 2, Player, 1:600, 09.08.2022 15:29:28
Player 1, Player, 1:71, 09.08.2022 15:29:29
Player 2, Window, 1:77, 09.08.2022 15:29:29
Player 1, plantAloe, 0:65, 09.08.2022 15:29:29
Player 1, Window, 0:897, 09.08.2022 15:29:30
Player 1, plantAloe, 0:138, 09.08.2022 15:29:31
Player 2, Player, 0:513, 09.08.2022 15:29:31
Player 1, Player, 0:495, 09.08.2022 15:29:31
Player 1, Window, 1:293, 09.08.2022 15:29:33
Player 1, plantAloe, 0:72, 09.08.2022 15:29:33
Player 1, Player, 0:360, 09.08.2022 15:29:34
Player 1, Player, 0:109, 09.08.2022 15:29:35
Player 1, Window, 0:139, 09.08.2022 15:29:35
Player 1, Player, 0:538, 09.08.2022 15:29:37
Player 1, plantFarn, 0:85, 09.08.2022 15:29:38
Player 1, plantFarn, 0:31, 09.08.2022 15:29:40
Player 1, Player, 0:70, 09.08.2022 15:29:40
Player 2, Player, 0:89, 09.08.2022 15:29:40
Player 2, Player, 1:261, 09.08.2022 15:29:43
Player 1, Player, 1:35, 09.08.2022 15:29:44
Player 1, Player, 0:616, 09.08.2022 15:29:46
Player 2, Player, 0:69, 09.08.2022 15:29:47
Player 1, Picture, 0:13, 09.08.2022 15:29:48
Player 1, Player, 0:939, 09.08.2022 15:29:49
Player 1, Player, 1:180, 09.08.2022 15:29:53
Player 2, Player, 3:808, 09.08.2022 15:29:53
Player 2, Player, 0:24, 09.08.2022 15:29:54
Player 2, Player, 0:116, 09.08.2022 15:29:54
Player 2, Player, 0:40, 09.08.2022 15:29:55
Player 1, Player, 1:925, 09.08.2022 15:29:55
Player 2, Player, 1:179, 09.08.2022 15:29:56
Player 2, Player, 0:367, 09.08.2022 15:29:57
Player 1, Player, 0:764, 09.08.2022 15:29:59
Player 1, Player, 0:291, 09.08.2022 15:30:09
Player 2, Player, 5:16, 09.08.2022 15:30:10
Player 2, Player, 0:400, 09.08.2022 15:30:11
Player 1, Player, 0:253, 09.08.2022 15:30:11
Player 2, Player, 0:594, 09.08.2022 15:30:11
Player 2, Player, 0:201, 09.08.2022 15:30:12
Player 2, Player, 0:861, 09.08.2022 15:30:13
Player 1, Player, 0:717, 09.08.2022 15:30:15
Player 1, Player, 0:223, 09.08.2022 15:30:17
Player 2, Player, 5:806, 09.08.2022 15:30:20
Player 2, Player, 0:775, 09.08.2022 15:30:21
Player 1, Player, 4:272, 09.08.2022 15:30:22
Player 1, Picture, 0:72, 09.08.2022 15:30:22
Player 2, Player, 3:154, 09.08.2022 15:30:26
Player 2, Player, 0:430, 09.08.2022 15:30:27
Player 2, Window, 0:185, 09.08.2022 15:30:29
Player 2, Player, 0:495, 09.08.2022 15:30:32
Player 2, Player, 0:218, 09.08.2022 15:30:35
Player 2, Player, 1:806, 09.08.2022 15:30:38
Player 1, Player, 0:70, 09.08.2022 15:30:39
Player 2, Player, 0:786, 09.08.2022 15:30:40
Player 2, Window, 0:787, 09.08.2022 15:30:42
Player 2, Window, 0:315, 09.08.2022 15:30:43
Player 1, plantFarn, 0:216, 09.08.2022 15:30:44
Player 2, Window, 0:122, 09.08.2022 15:30:44
Player 2, Player, 0:161, 09.08.2022 15:30:45
Player 2, Player, 2:810, 09.08.2022 15:30:51
Player 2, Player, 0:52, 09.08.2022 15:30:52
Player 1, Player, 0:169, 09.08.2022 15:30:54
Player 1, plantAloe, 0:157, 09.08.2022 15:30:54
Player 1, plantAloe, 0:579, 09.08.2022 15:30:56
Player 2, Player, 1:468, 09.08.2022 15:30:57
Player 1, Player, 1:215, 09.08.2022 15:30:57
Player 2, Player, 0:70, 09.08.2022 15:30:58
Player 1, Player, 0:917, 09.08.2022 15:31:00
Player 1, Player, 0:42, 09.08.2022 15:31:00
Player 2, Player, 1:131, 09.08.2022 15:31:00
Player 2, Player, 2:283, 09.08.2022 15:31:04
Player 2, Player, 0:219, 09.08.2022 15:31:05
Player 2, Player, 5:323, 09.08.2022 15:31:10
Player 2, Player, 0:431, 09.08.2022 15:31:11
Player 1, Player, 4:816, 09.08.2022 15:31:15
Player 2, Player, 0:582, 09.08.2022 15:31:16
Player 1, Player, 0:606, 09.08.2022 15:31:19
Player 2, Player, 2:879, 09.08.2022 15:31:20
Player 1, Player, 1:534, 09.08.2022 15:31:22
Player 1, Player, 1:26, 09.08.2022 15:31:23
Player 1, Player, 0:509, 09.08.2022 15:31:24
Player 1, Player, 1:299, 09.08.2022 15:31:27
Player 2, Window, 0:108, 09.08.2022 15:31:28
Player 2, Window, 0:119, 09.08.2022 15:31:28
Player 2, Window, 0:168, 09.08.2022 15:31:28
Player 1, Player, 1:573, 09.08.2022 15:31:30
Player 2, Window, 0:927, 09.08.2022 15:31:31
Player 1, Player, 0:200, 09.08.2022 15:31:31
Player 2, Player, 0:489, 09.08.2022 15:31:32
Player 2, Player, 0:139, 09.08.2022 15:31:32
Player 1, Player, 0:964, 09.08.2022 15:31:32
Player 2, Player, 3:517, 09.08.2022 15:31:36
Player 2, Player, 0:288, 09.08.2022 15:31:37
Player 1, Player, 0:429, 09.08.2022 15:31:41
Player 2, Player, 4:343, 09.08.2022 15:31:42
Player 1, Player, 0:405, 09.08.2022 15:31:43
Player 1, Player, 1:207, 09.08.2022 15:31:47
Player 1, Player, 0:298, 09.08.2022 15:31:51
Player 1, Player, 1:289, 09.08.2022 15:31:52
Player 1, Player, 0:394, 09.08.2022 15:31:54
Player 2, Player, 10:244, 09.08.2022 15:31:54
Player 1, Player, 0:235, 09.08.2022 15:31:54
Player 1, plantFarn, 0:448, 09.08.2022 15:31:56
Player 1, plantFarn, 0:206, 09.08.2022 15:31:57
Player 2, Player, 0:312, 09.08.2022 15:31:57
Player 1, plantFarn, 0:201, 09.08.2022 15:31:57
Player 1, Player, 0:243, 09.08.2022 15:31:58
Player 1, Player, 0:603, 09.08.2022 15:31:59
Player 1, Player, 0:245, 09.08.2022 15:32:00
Player 2, Player, 0:818, 09.08.2022 15:32:03
Player 1, Player, 2:448, 09.08.2022 15:32:03
Player 1, Player, 0:769, 09.08.2022 15:32:06
Player 1, plantAloe, 0:267, 09.08.2022 15:32:06
Player 1, Player, 0:117, 09.08.2022 15:32:07
Player 2, Player, 0:526, 09.08.2022 15:32:17
Player 2, Player, 0:115, 09.08.2022 15:32:19
Player 1, Player, 1:509, 09.08.2022 15:32:24
Player 1, Player, 0:232, 09.08.2022 15:32:26
Player 1, Player, 0:743, 09.08.2022 15:32:27
Player 1, Player, 0:757, 09.08.2022 15:32:28
Player 2, Player, 5:310, 09.08.2022 15:32:32
Player 1, Player, 8:956, 09.08.2022 15:32:39
Player 1, Player, 0:354, 09.08.2022 15:32:39
Player 1, Player, 2:469, 09.08.2022 15:32:43
Player 2, Player, 1:814, 09.08.2022 15:32:44
Player 1, Player, 0:473, 09.08.2022 15:32:46
Player 1, Player, 0:584, 09.08.2022 15:32:52
Player 1, Window, 1:104, 09.08.2022 15:32:57
Player 2, Player, 8:616, 09.08.2022 15:32:57
Player 1, Player, 1:281, 09.08.2022 15:32:58
Player 1, plantAloe, 0:960, 09.08.2022 15:32:59
Player 2, Player, 2:165, 09.08.2022 15:33:01
Player 1, Player, 3:913, 09.08.2022 15:33:03
Player 2, Player, 2:276, 09.08.2022 15:33:05
Player 1, plantFarn, 0:115, 09.08.2022 15:33:06
Player 1, plantFarn, 0:35, 09.08.2022 15:33:07
Player 2, Player, 1:228, 09.08.2022 15:33:07
Player 1, Player, 0:849, 09.08.2022 15:33:08
Player 1, Player, 0:230, 09.08.2022 15:33:09
Player 1, Player, 0:325, 09.08.2022 15:33:10
Player 1, Player, 1:643, 09.08.2022 15:33:12
Player 1, Player, 0:8, 09.08.2022 15:33:13
Player 2, Player, 2:473, 09.08.2022 15:33:15
Player 2, Player, 0:70, 09.08.2022 15:33:16
Player 2, Player, 0:219, 09.08.2022 15:33:18
Player 2, Player, 0:16, 09.08.2022 15:33:18
Player 1, Player, 6:837, 09.08.2022 15:33:19
Player 1, Player, 0:834, 09.08.2022 15:33:23
Player 2, Player, 1:376, 09.08.2022 15:33:24
Player 2, Player, 0:7, 09.08.2022 15:33:24
Player 2, Player, 0:345, 09.08.2022 15:33:25
Player 2, Player, 0:40, 09.08.2022 15:33:25
Player 1, Player, 1:431, 09.08.2022 15:33:25
Player 1, Player, 0:106, 09.08.2022 15:33:27
Player 1, Player, 0:26, 09.08.2022 15:33:28
Player 1, Player, 0:121, 09.08.2022 15:33:28
Player 1, Player, 0:740, 09.08.2022 15:33:29
Player 1, Player, 0:159, 09.08.2022 15:33:30
Player 2, Player, 5:490, 09.08.2022 15:33:30
Player 2, Player, 0:166, 09.08.2022 15:33:32
Player 1, Player, 2:184, 09.08.2022 15:33:36
Player 1, Window, 9:915, 09.08.2022 15:33:46
Player 1, Player, 0:223, 09.08.2022 15:33:46
Player 2, Player, 1:210, 09.08.2022 15:33:47
Player 1, plantFarn, 0:153, 09.08.2022 15:33:47
Player 1, plantFarn, 0:6, 09.08.2022 15:33:49
Player 1, Player, 0:7, 09.08.2022 15:33:49
Player 1, Player, 0:149, 09.08.2022 15:33:50
Player 1, Player, 0:156, 09.08.2022 15:33:50
Player 1, Player, 0:31, 09.08.2022 15:33:50
Player 1, Player, 0:26, 09.08.2022 15:33:52
Player 1, Player, 0:604, 09.08.2022 15:33:53
Player 1, Player, 0:328, 09.08.2022 15:33:54
Player 1, plantFarn, 0:513, 09.08.2022 15:33:57
Player 1, Player, 0:65, 09.08.2022 15:34:00
Player 1, Player, 0:7, 09.08.2022 15:34:00
Player 1, Player, 0:72, 09.08.2022 15:34:00
Player 1, Player, 0:100, 09.08.2022 15:34:00
Player 1, Player, 0:372, 09.08.2022 15:34:01
Player 1, plantAloe, 0:211, 09.08.2022 15:34:02
Player 1, plantAloe, 0:349, 09.08.2022 15:34:03
Player 2, Player, 2:837, 09.08.2022 15:34:05
Player 1, Player, 0:686, 09.08.2022 15:34:06
Player 1, Player, 0:612, 09.08.2022 15:34:07
Player 1, plantAloe, 0:586, 09.08.2022 15:34:08
Player 2, Player, 2:866, 09.08.2022 15:34:10
Player 1, Player, 2:447, 09.08.2022 15:34:11
Player 1, Player, 1:116, 09.08.2022 15:34:13
Player 1, Player, 0:87, 09.08.2022 15:34:13
Player 1, Player, 0:54, 09.08.2022 15:34:13
Player 2, Player, 3:119, 09.08.2022 15:34:14
Player 1, Player, 1:17, 09.08.2022 15:34:15
Player 1, Player, 0:205, 09.08.2022 15:34:15
Player 2, Player, 0:422, 09.08.2022 15:34:16
Player 1, Player, 0:528, 09.08.2022 15:34:16
Player 2, Player, 0:22, 09.08.2022 15:34:16
Player 1, Player, 0:202, 09.08.2022 15:34:17
Player 2, Player, 0:656, 09.08.2022 15:34:18
Player 1, Player, 0:19, 09.08.2022 15:34:18
Player 1, Player, 0:324, 09.08.2022 15:34:19
Player 2, Player, 5:635, 09.08.2022 15:34:24
Player 2, Window, 0:130, 09.08.2022 15:34:26
Player 2, Window, 0:740, 09.08.2022 15:34:27
Player 1, Player, 9:739, 09.08.2022 15:34:29
Player 2, Player, 3:293, 09.08.2022 15:34:31
Player 1, Player, 1:539, 09.08.2022 15:34:33
Player 1, Player, 0:95, 09.08.2022 15:34:33
Player 2, Player, 0:276, 09.08.2022 15:34:34
Player 2, Player, 0:121, 09.08.2022 15:34:36
Player 2, Player, 0:6, 09.08.2022 15:34:37
Player 1, Player, 0:951, 09.08.2022 15:34:37
Player 2, Player, 0:93, 09.08.2022 15:34:38
